bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1385510,1791,AB11,1,Introduced,2020-12-07,"Climate change: regional climate change authorities.","An act to add Part 3.6.5 (commencing with Section 71140) to Division 34 of the Public Resources Code, relating to climate change.",466,"Assembly Natural Resources",2021-01-25,"Re-referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB11/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB11
1385518,1791,AB12,1,Introduced,2020-12-07,"Personal information: social security numbers: the Employment Development Department.","An act to amend Section 11019.7 of the Government Code, relating to state government, and declaring the urgency thereof, to take effect immediately.",0,,2021-05-13,"Read second time. Ordered to Consent Calendar.",https://legiscan.com/CA/bill/AB12/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB12
1385509,1791,AB13,1,Introduced,2020-12-07,"Public contracts: automated decision systems.","An act to add Section 2004 to, and to add Chapter 3.3 (commencing with Section 12114) to Part 2 of Division 2 of, the Public Contract Code, relating to automatic decision systems.",449,"Assembly Appropriations",2021-04-21,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB13/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB13
1385583,1791,AB14,1,Introduced,2020-12-07,"Communications: broadband services: California Advanced Services Fund.","An act to add Section 33314.5 to the Education Code, to amend Section 53167 of, and to add Sections 12096.3.5 and 26231 to, the Government Code, and to amend Sections 281, 285, 912.2, and 914.7 of, and to add Sections 281.2 and 884.2 to, the Public Utilities Code, relating to communications, and declaring the urgency thereof, to take effect immediately.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB14/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB14
1385413,1791,AB15,1,Introduced,2020-12-07,"COVID-19 relief: tenancy: Tenant Stabilization Act of 2021.","An act to amend Sections 789.4, 798.56, 1942.5, and 2924.15 of, and to add Sections 1785.20.4 and 1942.5.5 to, the Civil Code, and to amend Sections 116.223, 1161, 1161.2, 1161.2.5, 1179.02, 1179.02.5, 1179.03, 1179.03.5, and 1179.07 of, and to add Section 1179.04.5 to, the Code of Civil Procedure, relating to tenancies, and declaring the urgency thereof, to take effect immediately.",459,"Assembly Housing and Community Development",2021-01-11,"Referred to Com. on H. & C.D.",https://legiscan.com/CA/bill/AB15/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB15
1385533,1791,AB16,1,Introduced,2020-12-07,"Tenancies: COVID-19 Tenant, Small Landlord, and Affordable Housing Provider Stabilization Act of 2021.","An act to add Chapter 2.9 (commencing with Section 50495) to Part 2 of Division 31 of the Health and Safety Code, relating to tenancies.",459,"Assembly Housing and Community Development",2021-01-13,"Re-referred to Com. on H. & C.D.",https://legiscan.com/CA/bill/AB16/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB16
1385512,1791,AB17,1,Introduced,2020-12-07,"Peace officers: disqualification from employment.","An act to amend Section 1029 of the Government Code, and to amend Sections 832.7, 13503, 13506, 13510, and 13510.1 of, to amend the heading of Article 2 (commencing with Section 13510) of Chapter 1 of Title 4 of Part 4 of, and to add Sections 13509.5, 13510.8 and 13510.9 to, the Penal Code, relating to peace officers.",468,"Assembly Public Safety",2021-01-13,"Re-referred to Com. on PUB. S.",https://legiscan.com/CA/bill/AB17/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB17
1385517,1791,AB18,1,Introduced,2020-12-07,"Sexual assault forensic evidence: testing.","An act to amend Section 680 of the Penal Code, relating to evidence.",449,"Assembly Appropriations",2021-04-14,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB18/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB18
1385504,1791,AB19,1,Introduced,2020-12-07,"Unemployment insurance compensation: COVID-19 pandemic: temporary benefits.","An act to add Section 316.5 to, and to add and repeal Sections 1026.3 and 1280.6 of, the Unemployment Insurance Code, relating to unemployment benefits, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-01-11,"Referred to Com. on INS.",https://legiscan.com/CA/bill/AB19/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB19
1385578,1791,AB20,1,Introduced,2020-12-07,"Political Reform Act of 1974: campaign contributions: The Corporate-Free Elections Act.","An act to add Section 85322 to the Government Code, relating to the Political Reform Act of 1974.",4331,"Assembly Elections",2021-04-29,"In committee: Set, first hearing. Held without recommendation.",https://legiscan.com/CA/bill/AB20/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB20
1385549,1791,AB21,1,Introduced,2020-12-07,"Forestry: electrical transmission and distribution lines: clearance: penalties.","An act to add Section 4293.5 to the Public Resources Code, relating to forestry.",463,"Assembly Judiciary",2021-04-08,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB21/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB21
1385431,1791,AB22,1,Introduced,2020-12-07,"Childcare: preschool programs and transitional kindergarten: enrollment: funding.","An act to amend Sections 8208, 8236, 8239, and 48000 of, and to add Section 42238.026 to, the Education Code, relating to childcare.",449,"Assembly Appropriations",2021-04-28,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB22/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB22
1385575,1791,AB23,1,Introduced,2020-12-07,"Benefits: eligibility determination: inmates.","An act to amend Section 1329 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-01-11,"Referred to Coms. on INS. and P. & C.P.",https://legiscan.com/CA/bill/AB23/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB23
1385485,1791,AB24,1,Introduced,2020-12-07,"Unemployment insurance: benefit determination deadlines.","An act to amend Sections 1329 and 1330 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-04-29,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB24/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB24
1385514,1791,AB25,1,Introduced,2020-12-07,"Worker classification: employees and independent contractors.","An act to amend Section 2750.5 of, to add Section 2750.7 to, and to repeal Article 1.5 (commencing with Section 2775) of Chapter 2 of Division 3 of, the Labor Code, relating to employment.",464,"Assembly Labor and Employment",2021-01-11,"Referred to Com. on L. & E.",https://legiscan.com/CA/bill/AB25/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB25
1385442,1791,AB26,1,Introduced,2020-12-07,"Peace officers: use of force.","An act to amend Sections 1029 and 7286 of the Government Code, relating to peace officers.",449,"Assembly Appropriations",2021-04-14,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB26/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB26
1385595,1791,AB27,1,Introduced,2020-12-07,"Homeless children and youths and unaccompanied youths: reporting.","An act to amend Sections 48852.5 and 48859 of, and to add Sections 48851, 48852.6, and 48857 to, the Education Code, relating to homeless children and youths and unaccompanied youths, and making an appropriation therefor.",449,"Assembly Appropriations",2021-04-21,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB27/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB27
1385480,1791,AB28,1,Introduced,2020-12-07,"Hate crimes.","An act to amend Sections 422.6 and 422.7 of the Penal Code, relating to hate crimes.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB28/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB28
1385421,1791,AB29,1,Introduced,2020-12-07,"State bodies: meetings.","An act to amend Section 11125 of the Government Code, relating to public meetings.",449,"Assembly Appropriations",2021-04-21,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB29/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB29
1385476,1791,AB30,1,Introduced,2020-12-07,"Outdoor access to nature: environmental equity.","An act to add Section 12804.6 to the Government Code, relating to the environment.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB30/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB30
1385508,1791,AB31,1,Introduced,2020-12-07,"Office of the Child Protection Ombudsperson.","An act to add Chapter 6 (commencing with Section 16550) to Part 4 of Division 9 of the Welfare and Institutions Code, relating to child welfare.",449,"Assembly Appropriations",2021-05-05,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB31/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB31
1385465,1791,AB32,1,Introduced,2020-12-07,Telehealth.,"An act to amend Section 2290.5 of the Business and Professions Code, to amend Section 1374.14 of the Health and Safety Code, to amend Section 10123.855 of the Insurance Code, and to amend Section 14087.95 of, and to add Sections 14092.4, 14132.721, and 14132.722 to, the Welfare and Institutions Code, relating to telehealth.",0,,2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB32/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB32
1385585,1791,AB33,1,Introduced,2020-12-07,"Energy Conservation Assistance Act of 1979: energy storage systems and transportation electrification infrastructure.","An act to amend Sections 25410.6, 25411, 25412.5, 25413, 25414, and 25415 of the Public Resources Code, relating to energy, and making an appropriation therefor.",0,,2021-05-13,"Read second time. Ordered to Consent Calendar.",https://legiscan.com/CA/bill/AB33/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB33
1385569,1791,AB34,1,Introduced,2020-12-07,"Broadband for All Act of 2022.","An act to add Title 26 (commencing with Section 101000) to the Government Code, relating to broadband, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds.",449,"Assembly Appropriations",2021-05-05,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB34/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB34
1385526,1791,AB35,1,Introduced,2020-12-07,"Social media platforms: false information.","An act to add Chapter 22.3.5 (commencing with Section 22595) to Division 8 of the Business and Professions Code, relating to false information.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB35/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB35
1385538,1791,AB36,1,Introduced,2020-12-07,"Design-build contracting: Town of Paradise","An act to add Section 22162.8 to the Public Contract Code, relating to public contracts.",449,"Assembly Appropriations",2021-04-29,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 28). Re-referred to Com. on APPR.",https://legiscan.com/CA/bill/AB36/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB36
1385477,1791,AB37,1,Introduced,2020-12-07,"Elections: vote by mail ballots.","An act to amend Sections 3000.5, 3016.7, 3019.7, 3020, and 15101 of, and to repeal Section 3016.5 of, the Elections Code, relating to elections.",449,"Assembly Appropriations",2021-04-15,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 6. Noes 1.) (April 15). Re-referred to Com. on APPR.",https://legiscan.com/CA/bill/AB37/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB37
1385471,1791,AB38,1,Introduced,2020-12-07,"Statewide bail schedule.","An act to add Section 1269d to the Penal Code, relating to bail.",468,"Assembly Public Safety",2021-04-06,"In committee: Set, first hearing. Failed passage.",https://legiscan.com/CA/bill/AB38/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB38
1385557,1791,AB39,2,Engrossed,2021-05-13,"California-China Climate Institute.","An act to add Article 8 (commencing with Section 92687) to Chapter 6 of Part 57 of Division 9 of Title 3 of the Education Code, relating to climate change.",489,"Senate Rules",2021-05-13,"In Senate. Read first time. To Com. on RLS. for assignment.",https://legiscan.com/CA/bill/AB39/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB39
1385423,1791,AB40,1,Introduced,2020-12-07,"Political Reform Act of 1974: slate mailers.","An act to amend Section 84305.5 of the Government Code, relating to the Political Reform Act of 1974.",0,,2021-04-29,"Read second time. Ordered to third reading.",https://legiscan.com/CA/bill/AB40/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB40
1385559,1791,AB41,1,Introduced,2020-12-07,"Broadband infrastructure deployment.","An act to add Title 15.2 (commencing with Section 3120) to Part 4 of Division 3 of the Civil Code, and to amend Section 14051 of, and to add Section s 8887.5 and 8887.7 to, the Government Code, relating to communications.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB41/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB41
1385590,1791,AB42,1,Introduced,2020-12-07,"Unemployment insurance: advisory committee on unemployment insurance.","An act to add Article 2 (commencing with Section 370) to Chapter 2 of Part 1 of Division 1 to the Unemployment Insurance Code, relating to unemployment insurance.",461,"Assembly Insurance",2021-02-22,"Re-referred to Com. on INS.",https://legiscan.com/CA/bill/AB42/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB42
1385492,1791,AB43,2,Engrossed,2021-05-10,"Traffic safety.","An act to amend Sections 627, 21400, 22352, 22354, 22357, 22358, 22358.4, 22359, and 40802 of, and to add Sections 22358.6, 22358.7, and 22358.8 to, the Vehicle Code, relating to traffic safety.",489,"Senate Rules",2021-05-11,"In Senate. Read first time. To Com. on RLS. for assignment.",https://legiscan.com/CA/bill/AB43/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB43
1385490,1791,AB44,1,Introduced,2020-12-07,"Real estate licensees.","An act to amend Section 10140.6 of the Business and Professions Code, relating to business.",451,"Assembly Business and Professions",2021-01-11,"Referred to Com. on B. & P.",https://legiscan.com/CA/bill/AB44/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB44
1385467,1791,AB45,1,Introduced,2020-12-07,"Industrial hemp products.","An act to amend Sections 11018.5, 100425, and 110065 of, to add Sections 110036, 110407, 110469, 110611, 111691, and 113091 to, to add Chapter 9 (commencing with Section 111920) to Part 5 of Division 104 of, and to repeal Section 111928.5 of, the Health and Safety Code, relating to industrial hemp, and declaring the urgency thereof, to take effect immediately.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB45/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB45
1385405,1791,AB46,1,Introduced,2020-12-07,"California Youth Empowerment Act.","An act to add Chapter 3.4 (commencing with Section 8260) to Division 1 of Title 2 of the Government Code, relating to youth.",449,"Assembly Appropriations",2021-05-05,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB46/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB46
1385556,1791,AB47,1,Introduced,2020-12-07,"Human services: coordinated immigration support services.","An act to add Chapter 5.65 (commencing with Section 13350) to Part 3 of Division 9 of the Welfare and Institutions Code, relating to human services.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB47/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB47
1385462,1791,AB48,1,Introduced,2020-12-07,"Law enforcement: kinetic energy projectiles and chemical agents.","An act to amend Section 12525.2 of the Government Code, and to add Section 13652 to the Penal Code, relating to law enforcement.",449,"Assembly Appropriations",2021-04-21,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB48/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB48
1385489,1791,AB49,1,Introduced,2020-12-07,"California Debt Limit Allocation Committee: elimination and allocation of duties.","An act to amend Sections 6586.5, 6586.7, 8869.82, 8869.84, 8869.90, and 8869.94 of, to amend the heading of Chapter 11.8 (commencing with Section 8869.80) of Division 1 of Title 2 of, and to repeal and add Section 8869.83 of, the Government Code, to amend Sections 50172, 50197.5, and 51505 of the Health and Safety Code, amend Section 89 of the Military and Veterans Code, and amend Sections 12206, 17058, and 23610.5 of the Revenue and Tax Code, relating to state government.",450,"Assembly Banking and Finance",2021-04-28,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB49/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB49
1385410,1791,AB50,1,Introduced,2020-12-07,"Climate change: Climate Adaptation Center and Regional Support Network: sea level rise.","An act to add Section 35626 to the Public Resources Code, relating to climate change.",466,"Assembly Natural Resources",2021-01-11,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB50/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB50
1385520,1791,AB51,1,Introduced,2020-12-07,"Climate change: adaptation: regional climate adaptation planning groups: regional climate adaptation plans.","An act to add Sections 71158 and 71159 to the Public Resources Code, relating to climate change.",466,"Assembly Natural Resources",2021-01-11,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB51/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB51
1385414,1791,AB52,1,Introduced,2020-12-07,"California Global Warming Solutions Act of 2006: scoping plan updates: wildfires.","An act to add Section 38562.8 to the Health and Safety Code, relating to greenhouse gases.",466,"Assembly Natural Resources",2021-01-11,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB52/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB52
1385498,1791,AB53,1,Introduced,2020-12-07,"Election day holiday.","An act to amend Section 7.1 of the Civil Code, to amend Sections 37220, 44988, 45203, 45205, 79020, 79030, 88203, 88205, and 89005.7 of, and to add Article 7 (commencing with Section 92070) to Chapter 1 of Part 57 of Division 9 of Title 3 of, the Education Code, to amend Section 1100 of the Elections Code, to amend Sections 6700, 19853, and 19853.1 of the Government Code, and to amend Section 4692 of the Welfare and Institutions Code, relating to elections.",449,"Assembly Appropriations",2021-05-05,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB53/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB53
1385460,1791,AB54,1,Introduced,2020-12-07,"COVID-19 emergency order violation: license revocation.","An act to add Sections 464.5 and 24200.8 to the Business and Professions Code, relating to business, and declaring the urgency thereof, to take effect immediately.",451,"Assembly Business and Professions",2021-04-13,"In committee: Set, first hearing. Failed passage.",https://legiscan.com/CA/bill/AB54/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB54
1385451,1791,AB55,1,Introduced,2020-12-07,"Employment: telecommuting.","An act relating to employment.",0,,2020-12-08,"From printer. May be heard in committee January 7.",https://legiscan.com/CA/bill/AB55/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB55
1385544,1791,AB56,1,Introduced,2020-12-07,"Benefits: outgoing mail: claim processing: reporting.","An act to amend Section 11019.7 of the Government Code, and to amend Section 2614 of, and to add Sections 320.4 and 1326.8 to, the Unemployment Insurance Code, relating to benefits.",449,"Assembly Appropriations",2021-05-12,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB56/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB56
1385500,1791,AB57,1,Introduced,2020-12-07,"Law enforcement: hate crimes.","An act to amend Section 13519.6 of, and to add Section 13016 to, the Penal Code, relating to law enforcement.",449,"Assembly Appropriations",2021-04-14,"In committee: Set, first hearing. Referred to APPR. suspense file.",https://legiscan.com/CA/bill/AB57/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB57
1385406,1791,AB58,1,Introduced,2020-12-07,"Pupil health: suicide prevention policies and training: school-based health programs: pilot program.","An act to amend Section 215 of the Education Code, to add Section 124174.8 to the Health and Safety Code, and to amend Section 14115.8 of the Welfare and Institutions Code, relating to pupil health.",455,"Assembly Education",2021-01-11,"Referred to Coms. on ED. and HEALTH.",https://legiscan.com/CA/bill/AB58/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB58
1385445,1791,AB59,1,Introduced,2020-12-07,"Mitigation Fee Act: fees: notice and timelines.","An act to amend Sections 66013, 66014, 66016, 66019, and 66020 of, and to repeal Section 66022 of, the Government Code, relating to land use.",465,"Assembly Local Government",2021-01-11,"Referred to Coms. on L. GOV. and H. & C.D.",https://legiscan.com/CA/bill/AB59/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB59
1385548,1791,AB60,1,Introduced,2020-12-07,"Law enforcement.","An act to amend Section 1029 of the Government Code, and to amend Sections 832.7, 832.18, 13503, 13506, 13510, 13510.1, and 13512 of, to amend the heading of Article 2 (commencing with Section 13510) of Chapter 1 of Title 4 of Part 4 of, and to add Sections 13509.5, 13510.8, and 13510.9 to, the Penal Code, relating to law enforcement.",468,"Assembly Public Safety",2021-04-06,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB60/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB60
