bill_id,date,chamber,sequence,action
1385400,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385400,2021-01-11,Assembly,3,"Referred to Com. on L. & E."
1385400,2021-04-13,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on L. & E. Read second time and amended."
1385400,2021-04-14,Assembly,5,"Re-referred to Com. on L. & E."
1385400,2021-04-26,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 6. Noes 0.) (April 22). Re-referred to Com. on APPR."
1385400,2021-05-12,Assembly,7,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385401,2020-12-07,Assembly,1,"Read first time. To print."
1385401,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385401,2021-01-11,Assembly,3,"Without reference to committee."
1385401,2021-01-11,Assembly,4,"Ordered to second reading."
1385401,2021-01-11,Assembly,5,"(Ayes 46. Noes 13. Page 108.)"
1385401,2021-01-12,Assembly,6,"Read second time. Ordered to third reading."
1385401,2021-01-15,Assembly,7,"Read third time. Passed. Ordered to the Senate. (Ayes 48. Noes 13. Page 162.)"
1385401,2021-01-15,Senate,8,"In Senate. Read first time. To Com. on RLS. for assignment."
1385401,2021-01-25,Senate,9,"Referred to Com. on B. & F.R."
1385401,2021-02-16,Senate,10,"Joint Rule 62(a), file notice suspended."
1385401,2021-02-18,Senate,11,"In committee: Hearing postponed by committee."
1385401,2021-02-22,Senate,12,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."
1385401,2021-03-03,Senate,13,"In committee: Hearing postponed by committee."
1385401,2021-03-08,Senate,14,"In committee: Hearing postponed by committee."
1385401,2021-03-12,Senate,15,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."
1385401,2021-03-15,Senate,16,"From committee: Do pass. (Ayes 13. Noes 5.) (March 15)."
1385401,2021-03-16,Senate,17,"Read second time. Ordered to third reading."
1385401,2021-04-07,Senate,18,"Re-referred to Com. on B. & F.R."
1385401,2021-04-08,Senate,19,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."
1385401,2021-04-12,Senate,20,"From committee: Do pass. (Ayes 13. Noes 3.) (April 12)."
1385402,2020-12-07,Assembly,1,"Introduced. To print."
1385402,2020-12-08,Assembly,2,"From printer."
1385402,2021-03-18,Assembly,3,"Referred to Com. on E.S. & T.M."
1385402,2021-04-21,Assembly,4,"Coauthors revised."
1385402,2021-04-21,Assembly,5,"From committee: Be adopted. Ordered to Third Reading. (Ayes 9. Noes 0.) (April 21)."
1385402,2021-04-29,Assembly,6,"Coauthors revised."
1385402,2021-04-29,Assembly,7,"Adopted and to Senate."
1385402,2021-05-03,Senate,8,"In Senate. To Com. on RLS."
1385402,2021-05-12,Senate,9,"Referred to Com. on E.Q."
1385403,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385403,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385403,2021-01-28,Senate,3,"Referred to Coms. on N.R. & W., GOV. & F., and EQ."
1385403,2021-01-28,Senate,4,"Referral to Com. on E.Q. rescinded because of the limitations placed on committee hearings due to ongoing health and safety risks of the COVID-19 virus."
1385403,2021-02-17,Senate,5,"Set for hearing March 16."
1385403,2021-03-16,Senate,6,"From committee: Do pass and re-refer to Com. on GOV. & F. (Ayes 7. Noes 2. Page 518.) (March 16). Re-referred to Com. on GOV. & F."
1385403,2021-03-24,Senate,7,"Set for hearing April 8."
1385403,2021-03-24,Senate,8,"April 8 hearing postponed by committee."
1385403,2021-04-06,Senate,9,"Set for hearing April 15."
1385403,2021-04-08,Senate,10,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on GOV. & F."
1385403,2021-04-15,Senate,11,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 0.) (April 15). Re-referred to Com. on APPR."
1385403,2021-04-21,Senate,12,"Set for hearing May 3."
1385403,2021-05-04,Senate,13,"May 3 hearing: Placed on APPR suspense file."
1385403,2021-05-14,Senate,14,"Set for hearing May 20."
1385404,2020-12-07,Assembly,1,"Read first time. To print."
1385404,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385404,2021-01-11,Assembly,3,"Referred to Com. on L. & E."
1385404,2021-02-02,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on L. & E. Read second time and amended."
1385404,2021-02-03,Assembly,5,"Re-referred to Com. on L. & E."
1385404,2021-03-29,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on L. & E. Read second time and amended."
1385404,2021-03-30,Assembly,7,"Re-referred to Com. on L. & E."
1385404,2021-04-08,Assembly,8,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 8)."
1385404,2021-04-12,Assembly,9,"Read second time and amended."
1385404,2021-04-13,Assembly,10,"Re-referred to Com. on APPR."
1385404,2021-04-28,Assembly,11,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385405,2020-12-07,Assembly,1,"Read first time. To print."
1385405,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385405,2021-01-11,Assembly,3,"Referred to Coms. on A. & A.R. and HUM. S."
1385405,2021-03-24,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on A. & A.R. Read second time and amended."
1385405,2021-03-25,Assembly,5,"Re-referred to Com. on A. & A.R."
1385405,2021-03-30,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on A. & A.R. Read second time and amended."
1385405,2021-04-02,Assembly,7,"Measure version as amended on March 30 corrected."
1385405,2021-04-05,Assembly,8,"Re-referred to Com. on A. & A.R."
1385405,2021-04-15,Assembly,9,"Assembly Rule 56 suspended."
1385405,2021-04-15,Assembly,10,"(pending re-refer to Com. on HUM. S.)"
1385405,2021-04-15,Assembly,11,"From committee: Do pass and re-refer to Com. on HUM. S. (Ayes 6. Noes 0.) (April 14). Re-referred to Com. on HUM. S."
1385405,2021-04-15,Assembly,12,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HUM. S. Read second time and amended."
1385405,2021-04-19,Assembly,13,"Re-referred to Com. on HUM. S."
1385405,2021-04-22,Assembly,14,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 8. Noes 0.) (April 21)."
1385405,2021-04-26,Assembly,15,"Read second time and amended."
1385405,2021-04-27,Assembly,16,"Re-referred to Com. on APPR."
1385405,2021-05-05,Assembly,17,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385406,2020-12-07,Assembly,1,"Read first time. To print."
1385406,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385406,2021-01-11,Assembly,3,"Referred to Coms. on ED. and HEALTH."
1385407,2020-12-07,Assembly,1,"Read first time. To print."
1385407,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385407,2021-01-11,Assembly,3,"Referred to Com. on NAT. RES."
1385407,2021-04-14,Assembly,4,"From committee: Do pass and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 11. Noes 0.) (April 14). Re-referred to Com. on APPR."
1385407,2021-04-28,Assembly,5,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385408,2020-12-07,Senate,1,"Introduced. Referred to Com. on RLS."
1385409,2020-12-07,Assembly,1,"Read first time. To print."
1385409,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385409,2021-01-11,Assembly,3,"Referred to Com. on REV. & TAX."
1385409,2021-03-22,Assembly,4,"In committee: Hearing postponed by committee."
1385410,2020-12-07,Assembly,1,"Read first time. To print."
1385410,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385410,2021-01-11,Assembly,3,"Referred to Com. on NAT. RES."
1385411,2020-12-07,Assembly,1,"Read first time. To print."
1385411,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385411,2021-01-11,Assembly,3,"Referred to Coms. on TRANS. and NAT. RES."
1385411,2021-03-17,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on TRANS. Read second time and amended."
1385411,2021-03-18,Assembly,5,"Re-referred to Com. on TRANS."
1385413,2020-12-07,Assembly,1,"Read first time. To print."
1385413,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385413,2021-01-11,Assembly,3,"Referred to Com. on H. & C.D."
1385414,2020-12-07,Assembly,1,"Read first time. To print."
1385414,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385414,2021-01-11,Assembly,3,"Referred to Com. on NAT. RES."
1385415,2020-12-07,Assembly,1,"Introduced. To print."
1385415,2020-12-08,Assembly,2,"From printer."
1385415,2021-01-11,Assembly,3,"Referred to Com. on RLS."
1385415,2021-01-11,Assembly,4,"Coauthors revised."
1385415,2021-01-11,Assembly,5,"From committee: Be adopted. Ordered to Third Reading. (Ayes 11. Noes 0.) (January 11)."
1385415,2021-01-15,Assembly,6,"Coauthors revised."
1385415,2021-01-15,Assembly,7,"Adopted and to Senate. (Page 158.)"
1385415,2021-01-19,Senate,8,"In Senate. To Com. on RLS."
1385416,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385416,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385416,2021-01-28,Senate,3,"Referred to Coms. on HEALTH, PUB. S., and JUD."
1385416,2021-01-28,Senate,4,"Referral to Com. on JUD. rescinded because of the limitations placed on committee hearings due to ongoing health and safety risks of the COVID-19 virus."
1385416,2021-02-18,Senate,5,"Set for hearing March 10."
1385416,2021-03-01,Senate,6,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on HEALTH."
1385416,2021-03-11,Senate,7,"From committee: Do pass and re-refer to Com. on PUB. S. (Ayes 7. Noes 3. Page 456.) (March 10). Re-referred to Com. on PUB. S."
1385416,2021-03-12,Senate,8,"Set for hearing April 6."
1385416,2021-03-25,Senate,9,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on PUB. S."
1385416,2021-04-06,Senate,10,"From committee: Do pass. (Ayes 4. Noes 1.) (April 6)."
1385416,2021-04-07,Senate,11,"Read second time. Ordered to third reading."
1385416,2021-04-22,Senate,12,"Read third time. Passed. (Ayes 21. Noes 11.) Ordered to the Assembly."
1385416,2021-04-22,Assembly,13,"In Assembly. Read first time. Held at Desk."
1385417,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385417,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385417,2021-01-28,Senate,3,"Referred to Com. on G.O."
1385418,2020-12-07,Senate,1,"Introduced. Referred to Com. on RLS."
1385418,2021-04-07,Senate,2,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385418,2021-04-12,Senate,3,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385418,2021-04-14,Senate,4,"From committee: Ordered to third reading."
1385418,2021-04-29,Senate,5,"Read. Adopted. (Ayes 37. Noes 0.) Ordered to the Assembly."
1385418,2021-04-29,Assembly,6,"In Assembly. Held at Desk."
1385418,2021-05-06,Assembly,7,"Referred to Com. on RLS."
1385418,2021-05-13,Assembly,8,"From committee: Be adopted. Ordered to consent calendar. (Ayes 10. Noes 0.) (May 13)."
1385419,2020-12-07,Assembly,1,"Read first time. To print."
1385419,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385419,2021-03-25,Assembly,3,"Referred to Com. on HEALTH."
1385419,2021-03-25,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HEALTH. Read second time and amended."
1385419,2021-03-26,Assembly,5,"Re-referred to Com. on HEALTH."
1385420,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385420,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385420,2020-12-08,Senate,3,"(Corrected December 9)."
1385420,2021-01-28,Senate,4,"Referred to Com. on RLS."
1385420,2021-03-10,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385420,2021-03-18,Senate,6,"Re-referred to Coms. on HOUSING and GOV. & F."
1385421,2020-12-07,Assembly,1,"Read first time. To print."
1385421,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385421,2021-01-11,Assembly,3,"Referred to Com. on G.O."
1385421,2021-04-12,Assembly,4,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 22. Noes 0.) (April 8). Re-referred to Com. on APPR."
1385421,2021-04-21,Assembly,5,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385422,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385422,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385422,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385422,2021-02-25,Senate,4,"Re-referred to Com. on TRANS."
1385422,2021-04-14,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on TRANS."
1385422,2021-04-16,Senate,6,"Set for hearing April 27."
1385422,2021-04-27,Senate,7,"From committee: Do pass as amended and re-refer to Com. on APPR with recommendation: To consent calendar. (Ayes 15. Noes 0.) (April 27)."
1385422,2021-04-28,Senate,8,"Read second time and amended. Re-referred to Com. on APPR."
1385422,2021-04-30,Senate,9,"Set for hearing May 10."
1385422,2021-05-10,Senate,10,"May 10 hearing: Placed on APPR suspense file."
1385422,2021-05-14,Senate,11,"Set for hearing May 20."
1385423,2020-12-07,Assembly,1,"Read first time. To print."
1385423,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385423,2021-01-11,Assembly,3,"Referred to Com. on ELECTIONS."
1385423,2021-04-06,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ELECTIONS. Read second time and amended."
1385423,2021-04-07,Assembly,5,"Re-referred to Com. on ELECTIONS."
1385423,2021-04-15,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 0.) (April 15). Re-referred to Com. on APPR."
1385423,2021-04-28,Assembly,7,"From committee: Do pass. (Ayes 12. Noes 0.) (April 28)."
1385423,2021-04-29,Assembly,8,"Read second time. Ordered to third reading."
1385424,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385424,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385424,2021-01-28,Senate,3,"Referred to Coms. on E., U. & C. and JUD."
1385424,2021-03-23,Senate,4,"Set for hearing April 12."
1385424,2021-03-25,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on E., U. & C."
1385424,2021-04-15,Senate,6,"From committee: Do pass as amended and re-refer to Com. on JUD. (Ayes 11. Noes 1.) (April 12)."
1385424,2021-04-19,Senate,7,"Read second time and amended. Re-referred to Com. on JUD."
1385424,2021-04-19,Senate,8,"Withdrawn from committee."
1385424,2021-04-19,Senate,9,"Re-referred to Com. on APPR."
1385424,2021-04-21,Senate,10,"Set for hearing May 3."
1385424,2021-05-04,Senate,11,"May 3 hearing: Placed on APPR suspense file."
1385424,2021-05-14,Senate,12,"Set for hearing May 20."
1385425,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385425,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385425,2021-01-28,Senate,3,"Referred to Com. on EQ."
1385425,2021-03-18,Senate,4,"Set for hearing April 12."
1385425,2021-04-07,Senate,5,"April 12 hearing postponed by committee."
1385425,2021-04-13,Senate,6,"Set for hearing April 29."
1385425,2021-04-15,Senate,7,"April 29 hearing postponed by committee."
1385425,2021-04-16,Senate,8,"Set for hearing April 26."
1385425,2021-04-27,Senate,9,"From committee: Do pass and re-refer to Com. on APPR with recommendation: To consent calendar. (Ayes 7. Noes 0.) (April 26). Re-referred to Com. on APPR."
1385425,2021-04-30,Senate,10,"Set for hearing May 10."
1385425,2021-05-10,Senate,11,"May 10 hearing: Placed on APPR suspense file."
1385425,2021-05-14,Senate,12,"Set for hearing May 20."
1385427,2020-12-07,Assembly,1,"Read first time. To print."
1385427,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385427,2021-01-11,Assembly,3,"Without reference to committee."
1385427,2021-01-11,Assembly,4,"Ordered to second reading."
1385427,2021-01-11,Assembly,5,"(Ayes 46. Noes 13. Page 108.)"
1385427,2021-01-12,Assembly,6,"Read second time. Ordered to third reading."
1385427,2021-01-15,Assembly,7,"Read third time. Passed. Ordered to the Senate. (Ayes 48. Noes 13. Page 164.)"
1385427,2021-01-15,Senate,8,"In Senate. Read first time. To Com. on RLS. for assignment."
1385427,2021-01-25,Senate,9,"Referred to Com. on B. & F.R."
1385427,2021-02-16,Senate,10,"Joint Rule 62(a), file notice suspended."
1385427,2021-02-18,Senate,11,"In committee: Hearing postponed by committee."
1385427,2021-04-26,Senate,12,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."
1385427,2021-04-28,Senate,13,"From committee: Do pass. (Ayes 12. Noes 5.) (April 28)."
1385427,2021-04-29,Senate,14,"Read second time. Ordered to third reading."
1385428,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385428,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385428,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385428,2021-03-07,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385428,2021-03-18,Senate,5,"Re-referred to Coms. on E., U. & C. and JUD."
1385428,2021-03-26,Senate,6,"Set for hearing April 19."
1385428,2021-04-08,Senate,7,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on E., U. & C."
1385428,2021-04-27,Senate,8,"From committee: Do pass as amended and re-refer to Com. on JUD. (Ayes 10. Noes 2.) (April 19)."
1385428,2021-04-28,Senate,9,"Read second time and amended. Re-referred to Com. on JUD."
1385428,2021-04-29,Senate,10,"Withdrawn from committee."
1385428,2021-04-29,Senate,11,"Re-referred to Com. on APPR."
1385428,2021-05-07,Senate,12,"Set for hearing May 17."
1385429,2020-12-07,Assembly,1,"Read first time. To print."
1385429,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385429,2021-01-11,Assembly,3,"Referred to Coms. on U. & E. and NAT. RES."
1385429,2021-03-23,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1385429,2021-03-24,Assembly,5,"Re-referred to Com. on U. & E."
1385429,2021-03-24,Assembly,6,"In committee: Set, first hearing. Hearing canceled at the request of author."
1385430,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385430,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385430,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385430,2021-02-25,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385430,2021-03-11,Senate,5,"Re-referred to Com. on E.Q."
1385430,2021-03-18,Senate,6,"Set for hearing April 12."
1385430,2021-04-07,Senate,7,"April 12 hearing postponed by committee."
1385430,2021-04-08,Senate,8,"Set for hearing April 26."
1385430,2021-04-27,Senate,9,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 1.) (April 26). Re-referred to Com. on APPR."
1385430,2021-04-30,Senate,10,"Set for hearing May 10."
1385430,2021-05-10,Senate,11,"From committee: Be ordered to second reading pursuant to Senate Rule 28.8."
1385430,2021-05-11,Senate,12,"Read second time. Ordered to third reading."
1385431,2020-12-07,Assembly,1,"Read first time. To print."
1385431,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385431,2021-01-11,Assembly,3,"Referred to Com. on ED."
1385431,2021-02-03,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ED. Read second time and amended."
1385431,2021-02-04,Assembly,5,"Re-referred to Com. on ED."
1385431,2021-03-29,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ED. Read second time and amended."
1385431,2021-03-30,Assembly,7,"Re-referred to Com. on ED."
1385431,2021-04-08,Assembly,8,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 7)."
1385431,2021-04-12,Assembly,9,"Read second time and amended."
1385431,2021-04-13,Assembly,10,"Re-referred to Com. on APPR."
1385431,2021-04-28,Assembly,11,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385432,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385432,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385432,2021-01-28,Senate,3,"Referred to Com. on E., U. & C."
1385432,2021-03-02,Senate,4,"Set for hearing March 15."
1385432,2021-03-05,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on E., U. & C."
1385432,2021-03-15,Senate,6,"March 15 set for first hearing canceled at the request of author."
1385432,2021-04-09,Senate,7,"Set for hearing April 19."
1385432,2021-04-26,Senate,8,"From committee: Do pass as amended and re-refer to Com. on APPR. (Ayes 9. Noes 3.) (April 19)."
1385432,2021-04-27,Senate,9,"Read second time and amended. Re-referred to Com. on APPR."
1385432,2021-04-30,Senate,10,"Set for hearing May 10."
1385432,2021-05-10,Senate,11,"May 10 hearing: Placed on APPR suspense file."
1385433,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385433,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385433,2021-01-28,Senate,3,"Referred to Com. on EQ."
1385433,2021-02-12,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on E.Q."
1385433,2021-03-01,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on E.Q."
1385433,2021-03-03,Senate,6,"Set for hearing March 15."
1385433,2021-03-16,Senate,7,"From committee: Do pass as amended and re-refer to Com. on APPR. (Ayes 5. Noes 2. Page 500.) (March 15)."
1385433,2021-03-17,Senate,8,"Read second time and amended. Re-referred to Com. on APPR."
1385433,2021-03-19,Senate,9,"Set for hearing April 5."
1385433,2021-04-05,Senate,10,"April 5 hearing: Placed on APPR suspense file."
1385434,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385434,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385434,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385434,2021-03-10,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1385434,2021-03-18,Senate,5,"Re-referred to Coms. on GOV. & F. and HOUSING."
1385434,2021-03-18,Senate,6,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on GOV. & F."
1385434,2021-03-19,Senate,7,"Set for hearing March 25."
1385434,2021-03-25,Senate,8,"From committee: Do pass and re-refer to Com. on HOUSING. (Ayes 5. Noes 0.) (March 25). Re-referred to Com. on HOUSING."
1385434,2021-04-06,Senate,9,"Set for hearing April 29."
1385434,2021-04-29,Senate,10,"From committee: Do pass as amended and re-refer to Com. on APPR. (Ayes 8. Noes 1.) (April 29)."
1385434,2021-05-03,Senate,11,"Read second time and amended. Re-referred to Com. on APPR."
1385434,2021-05-07,Senate,12,"Set for hearing May 17."
1385434,2021-03-25,Senate,13,"From committee: Do pass and re-refer to Com. on HOUSING. (Ayes 5. Noes 0. Page 632.) (March 25). Re-referred to Com. on HOUSING."
1385435,2020-12-07,Assembly,1,"Read first time. To print."
1385435,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385435,2021-03-18,Assembly,3,"Referred to Coms. on H. & C.D. and L. GOV."
1385435,2021-03-18,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on H. & C.D. Read second time and amended."
1385435,2021-03-22,Assembly,5,"Re-referred to Com. on H. & C.D."
1385435,2021-04-07,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on H. & C.D. Read second time and amended."
1385435,2021-04-08,Assembly,7,"Re-referred to Com. on H. & C.D."
1385435,2021-04-19,Assembly,8,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 15)."
1385435,2021-04-20,Assembly,9,"Read second time and amended."
1385435,2021-04-21,Assembly,10,"Re-referred to Com. on APPR."
1385435,2021-05-05,Assembly,11,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385436,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385436,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385436,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385436,2021-02-25,Senate,4,"Re-referred to Com. on INS."
1385436,2021-03-01,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on INS."
1385436,2021-03-12,Senate,6,"Set for hearing March 25."
1385436,2021-03-17,Senate,7,"March 25 set for first hearing canceled at the request of author."
1385436,2021-03-25,Senate,8,"Set for hearing April 8."
1385436,2021-04-08,Senate,9,"From committee: Do pass as amended. Ordered to consent calendar. (Ayes 12. Noes 0.) (April 8)."
1385436,2021-04-12,Senate,10,"Read second time and amended. Ordered to consent calendar."
1385436,2021-04-22,Senate,11,"Read third time. Passed. (Ayes 38. Noes 0.) Ordered to the Assembly."
1385436,2021-04-22,Assembly,12,"In Assembly. Read first time. Held at Desk."
1385436,2021-05-13,Assembly,13,"Referred to Com. on INS."
1385437,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385437,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385437,2021-01-28,Senate,3,"Referred to Com. on RLS."
1385437,2021-02-01,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
