bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1385416,1060900,2021-04-22,Senate,"Senate 3rd Reading SB57 Wiener et al",21,11,8,0,40
1385418,1066748,2021-04-29,Senate,"Senate 3rd Reading SCR4 Umberg et al",37,0,3,0,40
1385418,1077537,2021-05-13,Assembly,"Be adopted. To Consent Calendar",10,0,2,0,12
1385421,1048873,2021-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",22,0,0,0,22
1385422,1064041,2021-04-27,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations] with the recommendation: To Consent Calendar",15,0,2,0,17
1385422,1075306,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385423,1054610,2021-04-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,0,2,0,7
1385423,1065253,2021-04-28,Assembly,"Do pass",12,0,4,0,16
1385424,1050806,2021-04-12,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",11,1,2,0,14
1385424,1068231,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385425,1062763,2021-04-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",7,0,0,0,7
1385425,1075269,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385427,988119,2021-01-15,Assembly,"AB 87 Ting Assembly Third Reading",48,13,19,0,80
1385427,1065075,2021-04-28,Senate,"Do pass",12,5,1,0,18
1385428,1056359,2021-04-19,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",10,2,2,0,14
1385430,1062748,2021-04-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,1,1,0,7
1385431,1049027,2021-04-07,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1385432,1056340,2021-04-19,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",9,3,2,0,14
1385432,1075265,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385433,1028418,2021-03-15,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,2,0,0,7
1385433,1045009,2021-04-05,Senate,"Placed on suspense file",7,0,0,0,7
1385434,1037856,2021-03-25,Senate,"Do pass, but first be re-referred to the Committee on [Housing]",5,0,0,0,5
1385434,1066790,2021-04-29,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",8,1,0,0,9
1385435,1054648,2021-04-15,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,1,0,8
1385436,1048971,2021-04-08,Senate,"Do pass as amended, and be ordered to the Consent Calendar",12,0,0,0,12
1385436,1060998,2021-04-22,Senate,"Consent Calendar SB11",38,0,2,0,40
1385437,1033609,2021-03-22,Senate,"Do pass, but first be re-referred to the Committee on [Governance and Finance]",14,0,0,0,14
1385437,1074148,2021-05-06,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,0,0,5
1385439,1023826,2021-03-08,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",5,0,0,0,5
1385439,1035270,2021-03-23,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",11,0,0,0,11
1385439,1075354,2021-05-10,Senate,"Consent Calendar SB58 Wilk et al. Urgency Clause",37,0,3,0,40
1385442,1036520,2021-03-23,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,2,0,0,8
1385443,988134,2021-01-15,Assembly,"AB 82 Ting Assembly Third Reading",48,13,19,0,80
1385443,1009522,2021-02-18,Senate,"Do pass",17,0,1,0,18
1385443,1011742,2021-02-22,Senate,"Assembly 3rd Reading AB82 Ting By Skinner",38,0,1,0,39
1385443,1011743,2021-02-22,Assembly,"AB 82 TING Assembly Third Reading",77,0,2,0,79
1385443,1013297,2021-02-22,Assembly,"AB 82 TING Concurrence in Senate Amendments",77,0,2,0,79
1385446,988125,2021-01-15,Assembly,"AB 86 Ting Assembly Third Reading",48,13,19,0,80
1385446,1020027,2021-03-02,Senate,"Do pass",18,0,0,0,18
1385446,1022323,2021-03-04,Senate,"Assembly 3rd Reading AB86 BUDGET (Ting) By Skinner",36,0,3,0,39
1385446,1022324,2021-03-04,Assembly,"AB 86 BUDGET Concurrence in Senate Amendments By TING",72,4,3,0,79
1385447,1028434,2021-03-15,Senate,"Do pass, but first be re-referred to the Committee on [Natural Resources and Water]",5,0,2,0,7
1385447,1064146,2021-04-27,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",7,0,2,0,9
1385447,1075274,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385448,1046148,2021-04-05,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,0,0,5
1385448,1068195,2021-05-03,Senate,"Senate 3rd Reading SB33 Cortese",36,0,4,0,40
1385449,988131,2021-01-15,Assembly,"AB 79 Ting Assembly Third Reading",48,13,19,0,80
1385449,990809,2021-01-26,Senate,"Do pass",16,0,2,0,18
1385449,1050769,2021-04-12,Senate,"Do pass",16,0,2,0,18
1385453,983019,2020-12-07,Senate,"W/O REF. TO FILE SCR1 Umberg",36,0,0,0,36
1385453,983020,2020-12-07,Assembly,"SCR 1 Umberg Senate Third Reading By REYES",75,0,5,0,80
1385455,1046214,2021-04-06,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1385456,1065157,2021-04-28,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,0,0,7
1385459,1026145,2021-03-10,Senate,"Do pass, but first be re-referred to the Committee on [Governance and Finance]",5,1,1,0,7
1385459,1048945,2021-04-08,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1385459,1056336,2021-04-19,Senate,"Placed on suspense file",7,0,0,0,7
1385460,1053461,2021-04-13,Assembly,"Do pass and be re-referred to the Committee on [Governmental Organization]",6,7,6,0,19
1385461,988128,2021-01-15,Assembly,"AB 88 Ting Assembly Third Reading",48,13,19,0,80
1385461,1009543,2021-02-18,Senate,"Do pass",13,0,5,0,18
1385461,1028397,2021-03-15,Senate,"Do pass",14,0,4,0,18
1385461,1028398,2021-03-15,Senate,"Assembly 3rd Reading AB88 BUDGET (Ting) By Skinner",32,0,8,0,40
1385461,1028399,2021-03-15,Assembly,"AB 88 BUDGET Concurrence in Senate Amendments By TING",66,0,12,0,78
1385462,1036528,2021-03-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,2,0,0,8
1385463,1028408,2021-03-15,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Environmental Quality]",12,0,2,0,14
1385463,1066675,2021-04-29,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",6,0,1,0,7
1385464,1036538,2021-03-24,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Governance and Finance]",4,2,1,0,7
1385464,1068162,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385465,1063990,2021-04-27,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",13,0,2,0,15
1385466,983022,2020-12-07,Assembly,"HR 2 RENDON Assembly Third Reading By REYES",75,0,5,0,80
1385467,1064152,2021-04-27,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",14,1,0,0,15
1385468,1054735,2021-04-15,Senate,"Do pass, but first be re-referred to the Committee on [Governance and Finance]",7,2,0,0,9
1385468,1060850,2021-04-22,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,0,0,5
1385468,1075292,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385470,1054592,2021-04-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",13,0,0,0,13
1385471,1047468,2021-04-06,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",2,5,1,0,8
1385472,1029568,2021-03-16,Senate,"Do pass, but first be re-referred to the Committee on [Housing]",8,0,1,0,9
1385472,1066696,2021-04-29,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",8,0,1,0,9
1385473,1027196,2021-03-11,Senate,"Do pass",5,0,0,0,5
1385473,1031899,2021-03-18,Senate,"Senate 3rd Reading SB60 Glazer et al",32,5,3,0,40
1385475,1053562,2021-04-14,Senate,"Do pass, but first be re-referred to the Committee on [Human Services]",11,0,0,0,11
1385476,1064126,2021-04-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,4,0,0,15
1385477,1054620,2021-04-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,1,0,0,7
1385478,1026103,2021-03-10,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",9,2,0,0,11
1385478,1033622,2021-03-22,Senate,"Placed on suspense file",7,0,0,0,7
1385480,1065106,2021-04-27,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,1,0,0,8
1385481,1027160,2021-03-11,Senate,"Do pass, but first be re-referred to the Committee on [Housing]",5,0,0,0,5
1385481,1066787,2021-04-29,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",8,0,1,0,9
1385481,1075321,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385482,1051995,2021-04-13,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",4,0,1,0,5
1385482,1065265,2021-04-27,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,2,2,0,11
1385482,1075353,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385484,1059317,2021-04-20,Assembly,"Do pass and be re-referred to the Committee on [Public Employment and Retirement]",6,0,2,0,8
1385484,1066826,2021-04-29,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",6,0,1,0,7
1385486,983023,2020-12-07,Assembly,"HR 3 RENDON Assembly Third Reading By REYES",75,0,5,0,80
1385487,1029566,2021-03-16,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Labor, Public Employment and Retirement ]",4,0,1,0,5
1385487,1064089,2021-04-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1385487,1075304,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385488,1038741,2021-03-22,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",4,0,1,0,5
1385488,1047600,2021-04-06,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",9,2,0,0,11
1385488,1056407,2021-04-19,Senate,"Placed on suspense file",7,0,0,0,7
1385492,1056317,2021-04-19,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1385492,1073334,2021-05-05,Assembly,"Do pass",14,1,1,0,16
1385492,1075380,2021-05-10,Assembly,"AB 43 Friedman Assembly Third Reading",65,3,10,0,78
1385493,1031873,2021-03-18,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",7,1,1,0,9
1385493,1044978,2021-04-05,Senate,"Placed on suspense file",7,0,0,0,7
1385495,1057699,2021-04-19,Assembly,"Do pass and be re-referred to the Committee on [Housing and Community Development]",7,4,0,0,11
1385495,1067617,2021-04-29,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",5,2,1,0,8
1385498,1054637,2021-04-15,Assembly,"Do pass and be re-referred to the Committee on [Governmental Organization]",5,1,1,0,7
1385498,1060868,2021-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",14,4,4,0,22
1385499,993690,2021-02-01,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",15,0,2,0,17
1385499,996626,2021-02-04,Senate,"Do pass",4,0,2,0,6
1385499,1005313,2021-02-12,Senate,"Senate 3rd Reading SB51 Durazo et al. Urgency Clause",32,0,7,0,39
1385499,1029555,2021-03-15,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,0,0,0,8
1385499,1031886,2021-03-18,Assembly,"Do pass",16,0,0,0,16
1385500,1036434,2021-03-23,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",8,0,0,0,8
1385501,1025096,2021-03-09,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",14,0,0,0,14
1385501,1033657,2021-03-22,Senate,"Placed on suspense file",7,0,0,0,7
1385502,1050779,2021-04-12,Senate,"Do pass, but first be re-referred to the Committee on [Governmental Organization]",14,0,0,0,14
1385502,1057695,2021-04-20,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",11,0,4,0,15
1385503,983025,2020-12-07,Assembly,"HR 1 COOLEY Assembly Third Reading",56,19,5,0,80
1385505,1062745,2021-04-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1385505,1075281,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385506,1048963,2021-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,2,0,0,7
1385507,1053548,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,0,0,0,11
1385508,1059221,2021-04-21,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,0,0,0,8
1385509,1048962,2021-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,2,0,11
1385516,1028407,2021-03-15,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Rules]",4,0,1,0,5
1385516,1051895,2021-04-13,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",4,0,1,0,5
1385516,1075338,2021-05-10,Senate,"Senate 3rd Reading SB35 Umberg",29,2,9,0,40
1385517,1036522,2021-03-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,0,0,0,8
1385518,1048892,2021-04-08,Assembly,"Do pass and be re-referred to the Committee on [Insurance] with recommendation: To Consent Calendar",11,0,0,0,11
1385518,1066336,2021-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",13,0,0,0,13
1385518,1076922,2021-05-12,Assembly,"Do pass. To Consent Calendar",16,0,0,0,16
1385521,1065145,2021-04-27,Assembly,"Do pass",6,2,0,0,8
1385522,1048950,2021-04-07,Assembly,"Do pass and be re-referred to the Committee on [Higher Education]",5,0,2,0,7
1385522,1060911,2021-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",10,0,2,0,12
1385523,988118,2021-01-15,Assembly,"AB 81 Ting Assembly Third Reading",48,13,19,0,80
1385523,1009564,2021-02-18,Senate,"Do pass",16,0,2,0,18
1385523,1011709,2021-02-22,Senate,"Assembly 3rd Reading AB81 Ting By Skinner",37,0,2,0,39
1385523,1011710,2021-02-22,Assembly,"AB 81 TING Concurrence in Senate Amendments",77,0,2,0,79
1385524,1031897,2021-03-18,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Governance and Finance]",7,1,1,0,9
1385524,1060830,2021-04-22,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",4,1,0,0,5
1385524,1075312,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385526,1035260,2021-03-23,Assembly,"Do pass as amended and be re-referred to the Committee on [Arts, Entertainment, Sports, Tourism, and Internet Media]",8,2,1,0,11
1385526,1062739,2021-04-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",4,1,2,0,7
1385528,1051893,2021-04-13,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,3,1,0,15
1385529,1011730,2021-02-22,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,2,0,7
1385529,1016174,2021-02-25,Senate,"Do pass",6,0,0,0,6
1385529,1018524,2021-03-01,Senate,"Senate 3rd Reading SB7 Atkins et al. Urgency Clause",34,0,5,0,39
1385529,1065097,2021-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,1,1,0,11
1385529,1073368,2021-05-05,Assembly,"Do pass",16,0,0,0,16
1385529,1075376,2021-05-10,Assembly,"SB 7 Atkins Third Reading Urgency By RIVAS, R",71,2,5,0,78
1385530,1023839,2021-03-08,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",11,1,2,0,14
1385531,1026121,2021-03-10,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,0,0,7
1385531,1044946,2021-04-05,Senate,"Placed on suspense file",7,0,0,0,7
1385534,1023848,2021-03-08,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1385534,1033613,2021-03-22,Senate,"Placed on suspense file",7,0,0,0,7
1385536,984522,2021-01-11,Assembly,"Be adopted. To Consent Calendar",11,0,1,0,12
1385536,988129,2021-01-15,Assembly,"HR 4 Stone Consent Calendar Second Day",66,0,14,0,80
1385537,1054680,2021-04-15,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",4,1,0,0,5
1385537,1068241,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385538,1065311,2021-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,1,0,8
1385539,988126,2021-01-15,Assembly,"AB 80 Ting Assembly Third Reading",48,13,19,0,80
1385539,990807,2021-01-26,Senate,"Do pass",11,0,7,0,18
1385539,1009550,2021-02-18,Senate,"Do pass",17,0,1,0,18
1385539,1056329,2021-04-19,Senate,"Assembly 3rd Reading AB80 Burke et al. By Skinner Urgency Clause",37,0,3,0,40
1385539,1062781,2021-04-26,Assembly,"With recommendation: That Senate amendments be concurred in",9,0,2,0,11
1385539,1062782,2021-04-26,Assembly,"AB 80 BURKE Concurrence in Senate Amendments",75,0,3,0,78
1385541,1066692,2021-04-29,Senate,"Be adopted, but first be re-referred to the Committee on [Elections and Constitutional Amendments] with recommendation: To Consent Calendar",9,0,0,0,9
1385542,1025103,2021-03-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",9,2,0,0,11
1385542,1033661,2021-03-22,Senate,"Placed on suspense file",7,0,0,0,7
1385543,1036501,2021-03-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,1,2,0,11
1385544,1049001,2021-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Insurance]",11,0,0,0,11
1385544,1066713,2021-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",13,0,0,0,13
1385545,1029565,2021-03-16,Senate,"Do pass, but first be re-referred to the Committee on [Public Safety] with the recommendation: To Consent Calendar",11,0,0,0,11
1385545,1064122,2021-04-27,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",4,0,1,0,5
1385545,1075268,2021-05-10,Senate,"Placed on suspense file",7,0,0,0,7
1385546,1025114,2021-03-09,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",13,0,1,0,14
1385546,1066726,2021-04-29,Senate,"Senate 3rd Reading SB52 Dodd et al",36,0,4,0,40
1385547,1029559,2021-03-16,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Environmental Quality]",7,2,0,0,9
1385547,1050772,2021-04-12,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,1,1,0,7
1385547,1056338,2021-04-19,Senate,"Placed on suspense file",7,0,0,0,7
1385549,1036464,2021-03-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Judiciary]",6,3,2,0,11
1385551,1028422,2021-03-15,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",7,0,0,0,7
1385551,1053457,2021-04-13,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",9,0,2,0,11
1385551,1068252,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385552,1029562,2021-03-16,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",5,0,0,0,5
1385552,1045006,2021-04-05,Senate,"Placed on suspense file",7,0,0,0,7
1385553,1064120,2021-04-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,3,2,0,11
1385555,988130,2021-01-15,Assembly,"AB 83 Ting Assembly Third Reading",48,13,19,0,80
1385555,1009552,2021-02-18,Senate,"Do pass",17,0,1,0,18
1385555,1028430,2021-03-15,Senate,"Do pass",18,0,0,0,18
1385555,1028431,2021-03-15,Senate,"Assembly 3rd Reading AB83 BUDGET (Ting) By Skinner",39,0,1,0,40
1385555,1028432,2021-03-15,Assembly,"AB 83 BUDGET Concurrence in Senate Amendments By TING",75,0,3,0,78
1385556,1059285,2021-04-21,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,0,2,0,8
1385557,1036542,2021-03-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Natural Resources]",8,4,0,0,12
1385557,1053528,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",8,0,3,0,11
1385557,1065237,2021-04-28,Assembly,"Do pass",11,4,1,0,16
1385557,1077566,2021-05-13,Assembly,"AB 39 Chau Assembly Third Reading",50,16,12,0,78
1385558,1036546,2021-03-24,Senate,"Do pass, but first be re-referred to the Committee on [Human Services]",5,1,1,0,7
1385558,1046217,2021-04-06,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",5,0,0,0,5
1385558,1056425,2021-04-19,Senate,"Placed on suspense file",7,0,0,0,7
1385559,1054754,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Transportation]",11,1,1,0,13
1385559,1064158,2021-04-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,2,2,0,15
1385560,1037800,2021-03-25,Senate,"Do pass, but first be re-referred to the Committee on [Housing]",5,0,0,0,5
1385560,1066735,2021-04-29,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,2,0,0,9
1385561,987928,2021-01-14,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",4,1,0,0,5
1385561,989382,2021-01-21,Senate,"Do pass",4,2,0,0,6
1385561,992288,2021-01-28,Senate,"Senate 3rd Reading SB29 Umberg et al. Urgency Clause",29,7,3,0,39
1385561,1002171,2021-02-09,Assembly,"Do pass",6,1,0,0,7
1385561,1007213,2021-02-16,Assembly,"SB 29 Umberg Third Reading Urgency By Berman",55,15,9,0,79
1385562,1025088,2021-03-09,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",11,0,0,0,11
1385562,1033635,2021-03-22,Senate,"Placed on suspense file",7,0,0,0,7
1385563,1049883,2021-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",15,0,0,0,15
1385563,1059159,2021-04-21,Assembly,"Do pass. To Consent Calendar",14,0,2,0,16
1385563,1066690,2021-04-29,Assembly,"AB 63 Petrie-Norris Consent Calendar Second Day Regular Session",77,0,1,0,78
1385565,992320,2021-01-28,Assembly,"Be adopted. To Consent Calendar",10,0,2,0,12
1385565,996617,2021-02-04,Assembly,"HR 5 Chau Consent Calendar Second Day Regular Session",72,0,7,0,79
1385566,1026083,2021-03-10,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",7,0,0,0,7
1385566,1044950,2021-04-05,Senate,"Placed on suspense file",7,0,0,0,7
1385567,1059292,2021-04-21,Assembly,"Do pass and be re-referred to the Committee on [Education]",8,0,0,0,8
1385567,1065100,2021-04-28,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1385569,1054623,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Privacy and Consumer Protection]",11,1,1,0,13
1385569,1060800,2021-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,2,0,0,11
1385571,1044958,2021-04-05,Senate,"Do pass, but first be re-referred to the Committee on [Environmental Quality]",12,0,2,0,14
1385571,1062761,2021-04-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,0,1,0,7
1385572,1045017,2021-04-05,Senate,"Senate 3rd Reading SCR2 Umberg et al",38,0,2,0,40
1385572,1066676,2021-04-29,Assembly,"Be adopted. To Consent Calendar",9,0,3,0,12
1385572,1074135,2021-05-06,Assembly,"SCR 2 Umberg Consent Calendar Second Day Regular Session",77,0,1,0,78
1385573,1035238,2021-03-23,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",9,3,3,0,15
1385573,1053466,2021-04-13,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",8,1,2,0,11
1385573,1068221,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385574,1025124,2021-03-09,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",4,0,0,0,4
1385574,1053469,2021-04-13,Senate,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",8,1,2,0,11
1385574,1068161,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385576,1047527,2021-04-07,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,2,0,9
1385577,1052016,2021-04-13,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",16,0,1,0,17
1385577,1068262,2021-05-03,Senate,"Placed on suspense file",6,0,1,0,7
1385579,1051892,2021-04-13,Assembly,"Be adopted. To third reading",7,3,1,0,11
1385580,1060932,2021-04-22,Assembly,"Do pass and be re-referred to the Committee on [Health]",20,0,2,0,22
1385580,1064062,2021-04-27,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1385583,1054607,2021-04-14,Assembly,"Do pass and be re-referred to the Committee on [Local Government]",9,1,3,0,13
1385583,1065257,2021-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,2,1,0,8
1385584,1052007,2021-04-13,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1385585,1059313,2021-04-21,Assembly,"Do pass as amended, and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",15,0,0,0,15
